OBJECTID,OFC_SBRB_NAME,ShapeSTArea,ShapeSTLength
468,FISANTEKRAAL,536357.564476013,3497.10238262515
469,UITZICHT,1344812.48033905,5708.67617618852
470,NORTHPINE,1536371.45349121,5129.77360924383
471,BLACKHEATH INDUSTRIA,2782862.98516083,8153.12437452463
472,HOOGSTEDE,373682.631408691,5439.53174745501
473,DURBANVILLE HILLS,602379.937065125,3656.31446139234
474,SANDDRIFT,787258.222122192,4975.25020727651
475,SUMMER GREENS,835056.431304932,4608.57520484072
476,SIGNAL HILL / LIONS HEAD,4308542.8182373,16234.8719593176
477,CLIFTON,541742.971557617,5999.70363185036
478,TAFELSIG,4423130.91693115,9941.68788722809
479,BELHAR EXT 21,445223.221992493,2851.90956284878
480,MATROOSFONTEIN,690219.5078125,3446.30576564294
481,CLARKES ESTATE,385365.674560547,2533.94981247533
482,MODDERDAM,510237.667541504,2939.92974789896
483,BISHOP LAVIS,2683292.56193542,7501.95433273878
484,ADRIAANSE,432164.264724731,2887.83021361317
485,NONQUBELA,1360612.51961517,5390.23086906116
486,SABATA DALINDYEBO SQUARE,367400.977378845,3462.79018381598
487,EYETHU,1277714.03779602,4661.90898499328
488,SCOTTSDENE,2505587.32318115,7702.70304127896
489,PAREL VALLEI,1117837.95714188,4860.56437050722
490,SUNNINGDALE,2922440.80895996,8560.06810353635
491,BLUE DOWNS CBD,1194444.22162628,4671.10733276638
492,JACARANDAS,801910.427963257,4822.58909063351
493,GUGULETU,6121773.82566833,13487.5810211822
494,LAKESIDE,1550101.55812073,7369.78176761755
495,SOMERSET WEST BUSINESS PARK,241754.720546722,2466.03530247526
496,CROYDON VINEYARD ESTATE,430481.013679504,2825.26888366662
497,CROYDON OLIVE ESTATE,362116.47038269,2754.22603584677
498,MONTAGUE GARDENS,3414297.73052979,8068.05140748882
499,MARCONI BEAM,1899499.09135437,12097.6780304628
500,KALKFONTEIN,770825.393516541,3986.16230379523
501,BELHAR EXT 22,393157.387886047,3544.8250646479
502,OOSTERZEE-BELLVILLE,1006137.74393463,4573.17338115244
503,TRANSNET MARSHALLING YARD,3644844.88420105,13817.3049265
504,PLATTEKLOOF 1,905344.080032349,4454.86095804501
505,AVONDALE - PAROW,812319.346763611,4985.88386502915
506,VREDELUST BELLVILLE,466221.220146179,3463.43561589958
507,BOSBELL,76206.1891098022,1085.44545134599
508,KENRIDGE,1704367.56455994,6562.30167328447
509,EVERSDAL ,1875620.0012207,11118.2895961416
510,PROTEA VALLEY,1032963.90813446,4478.06735213125
511,ROSENDAL,433784.687072754,3801.21744767899
512,WELGEMOED,2541111.85785675,7365.43740835005
513,TYGERVALLEY,764820.30859375,4826.29483604878
514,RIDGEWORTH,717974.06703949,3853.91898033235
515,STELLENRIDGE,495006.203460693,2907.81428973763
516,STELLENBOSCH UNIV,980027.345809937,4812.13622099235
517,VREDENBERG - BELLVILLE,673638.181480408,3338.00822944673
518,LA ROCHELLE,436638.019729614,2906.61853463515
519,BLOEMHOF,398426.671577454,2682.74788422142
520,BLOMVLEI,81269.1239700317,1248.44258483249
521,SELBORNE,85852.0707321167,1580.43125654276
522,BLOMTUIN,364799.119148254,2592.27296719397
523,OAKGLEN,1334062.1709671,5654.48598157614
524,CHRISMAR,834049.667266846,4174.75377411364
525,STIKLAND HOSPITAAL,1411026.34060669,5302.69635928038
526,OAKDALE,1440354.26256561,7149.69626392073
527,KINGSTON,160419.282676697,2271.13238654219
528,STELLENBERG,1116593.05190277,4388.85776467463
529,BLOMMENDAL,339108.127586365,2447.15538209956
530,SONSTRAAL HEIGHTS,2317835.48744202,6863.51998180601
531,SONSTRAAL,999969.793312073,4188.4062925704
532,LANGEBERG RIDGE,883385.094947815,3825.77660279491
533,KLEINBRON,625073.377090454,3688.71391478203
534,CAPE GATE,615789.345375061,3529.52814314652
535,AMANDA GLEN ,843721.061027527,4086.18284271172
536,VREDEKLOOF,2751732.78672028,7435.11004490998
537,MORGENSTER HEIGHTS,1226132.82301331,4942.22561870267
538,LOEVENSTEIN,2204991.46190643,6162.55897706974
539,HOHEIZEN,373495.53086853,2512.88413933341
540,ASANDA,859009.289596558,4524.12242754619
541,RETREAT,4805309.70135498,12747.2907957026
542,STELLENRYK,1026019.70510864,5132.6215895498
543,PAROW,533511.415084839,3584.1167936828
544,BEACONVALE,1043339.27106476,7049.22181571103
545,VAN DER STEL,368225.38848877,2986.89985537434
546,SERCOR PARK,368549.798355103,2944.20507620899
547,SOUTHFORK,238682.798919678,1975.4729454176
548,GANTS PARK,355226.348400116,2531.00623325942
549,STRAND INDUSTRIA,249312.22870636,2102.60422275883
550,KENSINGTON,1953814.03204346,6191.29057328533
551,WESFLEUR,10712625.7285614,33375.7122017796
552,ATLANTIS INDUSTRIAL,10018556.3375549,13156.4668252885
